Episode 1/500, Total Reward: -516.852230407811
Episode 2/500, Total Reward: -181.96785785436225
Episode 3/500, Total Reward: -68.15742117063522
Episode 4/500, Total Reward: -271.1304944789258
Episode 5/500, Total Reward: -189.08155205602665
Episode 6/500, Total Reward: -186.4799387564666
Episode 7/500, Total Reward: -288.7895956243153
Episode 8/500, Total Reward: -266.24801630639166
Episode 9/500, Total Reward: -265.16170247845344
Episode 10/500, Total Reward: -250.62047343839896
Episode 11/500, Total Reward: -141.653892653109
Episode 12/500, Total Reward: -246.79992538004188
Episode 13/500, Total Reward: -209.7609477242981
Episode 14/500, Total Reward: -379.6410811160248
Episode 15/500, Total Reward: -263.55857617364416
Episode 16/500, Total Reward: -475.6758260695186
Episode 17/500, Total Reward: -217.8797901224108
Episode 18/500, Total Reward: -224.65287191059227
Episode 19/500, Total Reward: -138.95622690897298
Episode 20/500, Total Reward: -330.34644853190355
Episode 21/500, Total Reward: -316.3001495668651
Episode 22/500, Total Reward: -58.47000034731503
Episode 23/500, Total Reward: -119.88845808116413
Episode 24/500, Total Reward: -181.8615974443013
Episode 25/500, Total Reward: -151.72637868264684
Episode 26/500, Total Reward: -146.57458877373773
Episode 27/500, Total Reward: -395.4905947472921
Episode 28/500, Total Reward: -388.8892078934509
Episode 29/500, Total Reward: -71.76869118428007
Episode 30/500, Total Reward: -342.0297521727397
Episode 31/500, Total Reward: -301.33706972440575
Episode 32/500, Total Reward: -108.16657487692285
Episode 33/500, Total Reward: -415.88962908252006
Episode 34/500, Total Reward: -559.0373408856448
Episode 35/500, Total Reward: -80.91001532644937
Episode 36/500, Total Reward: -110.34422310929519
Episode 37/500, Total Reward: -494.6500142129278
Episode 38/500, Total Reward: -742.2171316769145
Episode 39/500, Total Reward: -103.14757601510844
Episode 40/500, Total Reward: -118.78793104598878
Episode 41/500, Total Reward: -203.0707897268239
Episode 42/500, Total Reward: -301.67166617109683
Episode 43/500, Total Reward: -38.5739891502306
Episode 44/500, Total Reward: -90.57285896971472
Episode 45/500, Total Reward: -77.14191395322601
Episode 46/500, Total Reward: -371.01922974593606
Episode 47/500, Total Reward: -182.18073590511472
Episode 48/500, Total Reward: -303.4646730299073
Episode 49/500, Total Reward: -27.77146101330274
Episode 50/500, Total Reward: -57.75406969556083
Episode 51/500, Total Reward: -425.5084443296875
Episode 52/500, Total Reward: -113.79345007700397
Episode 53/500, Total Reward: -193.17983224895784
Episode 54/500, Total Reward: -149.58868435566723
Episode 55/500, Total Reward: -187.9419003122066
Episode 56/500, Total Reward: -134.88231739835948
Episode 57/500, Total Reward: -191.5993193138001
Episode 58/500, Total Reward: -74.60913301614448
Episode 59/500, Total Reward: -109.06077880995615
Episode 60/500, Total Reward: -119.22530103003396
Episode 61/500, Total Reward: -60.26617634517613
Episode 62/500, Total Reward: -45.011594691312894
Episode 63/500, Total Reward: -157.39590441962952
Episode 64/500, Total Reward: -67.578199524607
Episode 65/500, Total Reward: -297.55184418397096
Episode 66/500, Total Reward: -166.85501631089778
Episode 67/500, Total Reward: -237.85362083401355
Episode 68/500, Total Reward: -205.15192626570786
Episode 69/500, Total Reward: -236.11438520888905
Episode 70/500, Total Reward: -14.391407844481932
Episode 71/500, Total Reward: -31.44732883237198
Episode 72/500, Total Reward: -83.0639113475439
Episode 73/500, Total Reward: -151.89617200921845
Episode 74/500, Total Reward: -291.9606148840404
Episode 75/500, Total Reward: -51.14895748996534
Episode 76/500, Total Reward: -36.19804453149881
Episode 77/500, Total Reward: -137.29106014966985
Episode 78/500, Total Reward: -164.6688781498121
Episode 79/500, Total Reward: -203.7222922378969
Episode 80/500, Total Reward: -230.61842868035995
Episode 81/500, Total Reward: -130.74165768281114
Episode 82/500, Total Reward: -23.750361560228356
Episode 83/500, Total Reward: -10.43356263124204
Episode 84/500, Total Reward: -73.2735061018058
Episode 85/500, Total Reward: -95.48053385233695
Episode 86/500, Total Reward: -69.92881608301303
Episode 87/500, Total Reward: -331.1080125600264
Episode 88/500, Total Reward: -396.9271373687918
Episode 89/500, Total Reward: -191.2183125197875
Episode 90/500, Total Reward: -179.68541433132907
Episode 91/500, Total Reward: -436.70957445432987
Episode 92/500, Total Reward: 61.26329839337701
Episode 93/500, Total Reward: -486.52617518162924
Episode 94/500, Total Reward: -3220.2249838856806
Episode 95/500, Total Reward: -177.67610262794273
Episode 96/500, Total Reward: -162.5934548064908
Episode 97/500, Total Reward: -128.021707963663
Episode 98/500, Total Reward: -114.9053625975446
Episode 99/500, Total Reward: -113.47162736082248
Episode 100/500, Total Reward: -129.53331350215134
Episode 101/500, Total Reward: 137.4179782024184
Episode 102/500, Total Reward: -115.71722929883968
Episode 103/500, Total Reward: -43.65095948606485
Episode 104/500, Total Reward: -393.41093281020045
Episode 105/500, Total Reward: -50.28134598537827
Episode 106/500, Total Reward: -312.88661769966257
Episode 107/500, Total Reward: -202.73376113546067
Episode 108/500, Total Reward: -33.5548998577071
Episode 109/500, Total Reward: -347.82278708916283
Episode 110/500, Total Reward: -185.22733327751058
Episode 111/500, Total Reward: -306.5095619202475
Episode 112/500, Total Reward: -582.2267751906945
Episode 113/500, Total Reward: -327.1224538253276
Episode 114/500, Total Reward: -246.18650536558738
Episode 115/500, Total Reward: -52.12154594559009
Episode 116/500, Total Reward: -198.59808824328883
Episode 117/500, Total Reward: -468.97409765031665
Episode 118/500, Total Reward: -128.57401772789842
Episode 119/500, Total Reward: -7.054022166313629
Episode 120/500, Total Reward: -436.62100523842787
Episode 121/500, Total Reward: -170.34986679904384
Episode 122/500, Total Reward: 204.78220860834202
Episode 123/500, Total Reward: -83.04634059396906
Episode 124/500, Total Reward: -161.32683962450812
Episode 125/500, Total Reward: -262.3185219105595
Episode 126/500, Total Reward: -216.8470426152884
Episode 127/500, Total Reward: 35.38781210044168
Episode 128/500, Total Reward: -419.9945712669164
Episode 129/500, Total Reward: 6.149290605705588
Episode 130/500, Total Reward: 184.8681706621138
Episode 131/500, Total Reward: -220.18196680672344
Episode 132/500, Total Reward: -319.87185738828873
Episode 133/500, Total Reward: -107.16141687299806
Episode 134/500, Total Reward: 17.51625279544369
Episode 135/500, Total Reward: -12.411175862902752
Episode 136/500, Total Reward: 180.72949276729184
Episode 137/500, Total Reward: -171.6161399080673
Episode 138/500, Total Reward: 188.52843673984194
Episode 139/500, Total Reward: -49.955841558602856
Episode 140/500, Total Reward: 250.99029779748966
Episode 141/500, Total Reward: -380.4353223203172
Episode 142/500, Total Reward: -156.9877420969259
Episode 143/500, Total Reward: -78.19157527481292
Episode 144/500, Total Reward: -325.8859143602974
Episode 145/500, Total Reward: -1118.4859703694706
Episode 146/500, Total Reward: -837.7389977310204
Episode 147/500, Total Reward: -2657.9609643507283
Episode 148/500, Total Reward: -200.06971943950776
Episode 149/500, Total Reward: -4965.244674515546
Episode 150/500, Total Reward: -2390.793840043668
Episode 151/500, Total Reward: -4460.510201352982
Episode 152/500, Total Reward: 123.63569667728103
Episode 153/500, Total Reward: -560.7175601727835
Episode 154/500, Total Reward: -437.7476571670566
Episode 155/500, Total Reward: -706.76610512059
Episode 156/500, Total Reward: -178.37614331691844
